Total itemsets found: 295
Elapsed time: 1668ms
[32201, 32205] - 151.08419999999998
[34901, 34889] - 137.84430000000006
[47945] - 461.95
[12339, 35185] - 139.33390000000003
[33433, 33453] - 172.84270000000004
[33469, 33453] - 221.76710000000006
[33453, 33449] - 158.71809999999996
[12755] - 491.2000000000003
[12603] - 492.77000000000004
[12771] - 497.3899999999995
[12703, 12571] - 125.97730000000003
[12571, 12487] - 141.26269999999997
[34897, 34885] - 163.07609999999994
[10331, 10335] - 130.5687
[10315, 10331] - 141.7323
[12763] - 529.12
[12815, 12895] - 312.54790000000025
[12687] - 540.9999999999998
[10307, 10295, 10299] - 122.11250199999999
[10299, 10311] - 135.60480000000013
[34905, 34889] - 131.35410000000005
[12483, 12479] - 161.5988
[12487, 12479] - 159.16299999999993
[18787] - 555.859999999999
[12407] - 570.5399999999993
[12655] - 571.2400000000004
[12683, 12695] - 159.3181
[12683, 12679] - 183.1523000000002
[12703, 12683] - 139.4021
[12627] - 588.1000000000008
[12779] - 588.7100000000007
[12411] - 596.62
[12487, 12463] - 120.00750000000001
[12759] - 629.8300000000007
[18863, 12751] - 143.73699999999997
[18863, 12431] - 136.88189999999997
[18863, 12895] - 141.39600000000007
[32213, 32205] - 214.10729999999992
[33469, 33433, 33449] - 121.4772280000001
[12567] - 667.8799999999993
[12819, 12795] - 173.9249
[12795, 12831] - 200.79369999999992
[12795, 12895] - 125.85780000000004
[34885, 34893] - 124.68870000000007
[34885, 33449] - 136.91720000000007
[12783] - 710.300000000001
[12691, 12695] - 165.0524
[12703, 12691] - 134.05329999999998
[12659] - 762.7499999999998
[10307, 12827] - 119.2487
[12827, 12895] - 334.60180000000037
[12355] - 817.2199999999988
[12559] - 827.6399999999992
[12819, 12831] - 119.84100000000001
[12819, 12895] - 121.90960000000003
[10315, 10335] - 237.77890000000005
[10295, 12831] - 119.67009999999996
[10307, 12831] - 127.27250000000002
[10315, 12831] - 128.9334
[12895, 12831] - 136.53279999999998
[34893, 12875] - 145.2318
[32213, 34893] - 152.9141000000001
[12703, 34893] - 176.5677000000001
[34893, 12487] - 195.76479999999995
[34893, 10311] - 136.9411
[12715, 12723] - 130.28930000000014
[32213, 12875] - 122.73459999999993
[12703, 12875] - 168.87149999999986
[12483, 12875] - 162.8197
[12487, 12875] - 245.39289999999994
[10311, 12875] - 187.13059999999993
[12895, 12875] - 140.25129999999993
[10877] - 1040.1299999999994
[12695, 12679] - 147.0536000000001
[12703, 12695] - 344.64520000000033
[10295, 12695] - 189.28439999999995
[12487, 12695] - 143.86750000000012
[12695, 10311] - 140.18399999999997
[10307, 12695] - 154.51840000000013
[10315, 12695] - 130.82349999999997
[12895, 12695] - 145.1686
[12695, 33449] - 152.03019999999995
[32213, 12703, 12487] - 135.93883299999996
[32213, 12703, 10311] - 122.14246799999995
[32213, 12483] - 155.22070000000008
[10315, 32213] - 152.9374000000001
[12663, 12679] - 137.40750000000014
[12703, 12679] - 221.09189999999987
[10295, 12679] - 121.6765
[10307, 12679] - 163.72920000000002
[10315, 12679] - 126.62060000000001
[12895, 12679] - 225.23350000000013
[12663, 12895] - 144.38880000000006
[12703, 10295] - 144.90299999999996
[12703, 12483] - 190.83859999999993
[12703, 12487, 10311] - 134.44260000000003
[10307, 12703] - 141.00669999999997
[10315, 12703] - 182.43389999999994
[12703, 12895] - 140.09429999999998
[12483, 10295] - 125.7218
[10295, 12487] - 150.45280000000008
[10307, 10295, 10311] - 171.53591000000011
[10315, 10295, 10311] - 148.6091959999999
[10315, 10307, 10295] - 138.93894199999997
[33469, 10295] - 128.82559999999998
[10295, 12895] - 225.2181
[10295, 33449] - 157.82619999999994
[12483, 12487, 10311] - 132.5566120000001
[10307, 12483] - 133.8992000000001
[10315, 12483] - 202.15869999999984
[10307, 12487] - 146.26970000000003
[10315, 12487] - 220.74190000000002
[12487, 12895] - 128.56670000000003
[10315, 10307, 10311] - 122.68977599999995
[12895, 10311] - 157.9866999999999
[33469, 10307] - 139.02079999999998
[10307, 12895] - 249.05959999999985
[10307, 33449] - 129.42549999999994
[10315, 12895] - 198.2977000000001
[10315, 33449] - 128.52480000000003
[33469, 12895] - 150.84740000000002
[12895, 33449] - 193.97200000000015
