Total itemsets found: 4897
Elapsed time: 5682ms
[64] - 514.22
[68] - 555.2199999999993
[47] - 561.5899999999999
[46] - 593.21
[7] - 625.9999999999998
[123] - 639.7499999999997
[88, 21] - 584.0994000000001
[79, 21] - 591.3639000000004
[94, 21] - 588.1841999999995
[36, 21] - 591.8744999999994
[90, 21] - 599.8233999999993
[55, 22] - 572.2591000000001
[22, 41] - 566.5232999999995
[22, 38] - 576.5353999999999
[22, 97] - 596.7493999999998
[22, 94] - 599.3989999999992
[22, 36] - 604.7612999999997
[22, 90] - 604.4610000000006
[44, 1] - 564.6075999999995
[44, 71] - 517.9348
[44, 67] - 555.5119000000002
[44, 41] - 534.1138999999995
[44, 97] - 622.6347999999987
[44, 94] - 594.5397999999996
[44, 36] - 588.9077
[44, 90] - 624.8185999999995
[2, 125] - 566.2590999999993
[24, 125] - 563.4760999999999
[125, 38] - 638.5596000000014
[125, 97] - 620.8170999999991
[125, 94] - 640.4320999999999
[36, 125] - 648.0973999999998
[125, 90] - 645.1415000000006
[23, 53] - 550.7477000000002
[104, 53] - 551.2951
[1, 53] - 552.5098000000002
[71, 53] - 534.4706000000004
[67, 53] - 578.7213999999998
[41, 53] - 567.4458999999995
[38, 53] - 580.6131000000005
[97, 53] - 531.5153000000004
[45, 56, 114, 97] - 551.69272317
[45, 56, 114, 94] - 545.791612610001
[45, 56, 36, 114] - 547.5105484599995
[45, 56, 114, 90] - 545.8198692900006
[45, 24, 114, 38] - 537.6722971399997
[45, 24, 114, 97] - 548.9260138799995
[45, 24, 114, 94] - 543.8773009200002
[45, 24, 36, 114] - 544.3784285199982
[45, 24, 114, 90] - 543.5650573399997
[45, 114, 38, 97] - 542.5493130800006
[45, 114, 38, 94] - 536.2043815300002
[45, 36, 114, 38] - 537.89463143
[45, 114, 38, 90] - 536.2887219600011
[45, 114, 94, 97] - 547.1453264499997
[45, 36, 114, 97] - 548.3139800900011
[45, 114, 90, 97] - 547.1592889999993
[45, 36, 114, 94] - 541.9004926799998
[45, 114, 90, 94] - 541.7283946000003
[45, 36, 114, 90] - 542.5959803399994
[100, 45, 63, 42] - 546.4718694400012
[45, 2, 63, 42] - 550.4457544399988
[45, 63, 42, 120] - 545.3705859499993
[56, 45, 63, 42] - 551.9889403099997
[45, 24, 63, 42] - 548.8873766299996
[45, 38, 63, 42] - 543.1555674500004
[45, 63, 97, 42] - 553.7550592200005
[45, 94, 63, 42] - 548.7972961399998
[45, 36, 63, 42] - 549.2562367799991
[45, 90, 63, 42] - 548.3913769499993
[45, 100, 2, 63] - 543.2862833899992
[45, 100, 63, 120] - 538.9186353799998
[56, 45, 100, 63] - 546.4315925000011
[45, 100, 24, 63] - 543.4152238499998
[45, 100, 38, 63] - 537.1229102700001
[45, 100, 63, 97] - 546.4651658700011
[45, 100, 94, 63] - 541.5040085899998
[45, 100, 36, 63] - 542.3864749
[45, 100, 90, 63] - 541.6817607600005
[45, 2, 63, 120] - 542.07613445
[56, 45, 2, 63] - 549.9936621600003
[45, 24, 2, 63] - 547.3203950500003
[45, 2, 38, 63] - 540.5472860300016
[45, 2, 63, 97] - 549.7183388299991
[45, 2, 94, 63] - 544.9253676699997
[45, 2, 36, 63] - 546.3633745099999
[45, 2, 90, 63] - 546.2752926900006
[56, 45, 63, 120] - 544.3091338700003
[45, 24, 63, 120] - 541.5962853900019
[45, 38, 63, 120] - 535.7658686600001
[45, 63, 97, 120] - 545.875871959999
[45, 94, 63, 120] - 541.2302610900015
[45, 36, 63, 120] - 540.3363903799997
[45, 90, 63, 120] - 539.8792855700008
[45, 56, 24, 63] - 548.3982814500001
[45, 56, 38, 63] - 542.5108371799993
[45, 56, 63, 97] - 552.5336671499997
[45, 56, 94, 63] - 547.2519910500005
[45, 56, 36, 63] - 548.6340409899999
[45, 56, 90, 63] - 547.1831253800011
[45, 24, 38, 63] - 538.9861323399996
[45, 24, 63, 97] - 549.7688712399998
[45, 24, 94, 63] - 545.215993900001
[45, 24, 36, 63] - 545.2420397099993
[45, 24, 90, 63] - 544.8505812999996
[45, 38, 63, 97] - 543.9556997900008
[45, 38, 94, 63] - 538.2142206099999
[45, 36, 38, 63] - 539.7505029399999
[45, 38, 90, 63] - 538.2294679700002
[45, 94, 63, 97] - 548.6742679799996
[45, 36, 63, 97] - 549.4148381999997
[45, 90, 63, 97] - 548.7437948999997
[45, 36, 94, 63] - 543.5125574900002
[45, 90, 94, 63] - 543.7081299299996
[45, 36, 90, 63] - 544.4134636999993
[45, 100, 2, 42] - 545.9011696199999
[45, 100, 42, 120] - 542.4355116599991
[56, 45, 100, 42] - 548.6566564599997
[45, 100, 24, 42] - 545.7691852600004
[45, 100, 38, 42] - 539.4397809600005
[45, 100, 97, 42] - 549.2984103700009
[45, 100, 94, 42] - 544.7470719900009
[45, 100, 36, 42] - 545.0548008800007
[45, 100, 90, 42] - 544.463147399999
[45, 2, 42, 120] - 545.6629077100001
[56, 45, 2, 42] - 552.6348580399983
[45, 24, 2, 42] - 550.1855446399996
[45, 2, 38, 42] - 543.3759132500005
[45, 2, 97, 42] - 553.0986954600008
[45, 2, 94, 42] - 548.2716114300002
[45, 2, 36, 42] - 549.6835661899997
[45, 2, 90, 42] - 549.4775234700011
[56, 45, 42, 120] - 547.5469518799999
[45, 24, 42, 120] - 544.8146840199995
[45, 38, 42, 120] - 539.02183661
[45, 97, 42, 120] - 549.8484165099995
[45, 94, 42, 120] - 545.3863566199993
[45, 36, 42, 120] - 544.1630372400001
[45, 90, 42, 120] - 543.5667237199993
[45, 56, 24, 42] - 550.7789954499995
[45, 56, 38, 42] - 544.7375317700005
[45, 56, 97, 42] - 555.5846851400003
[45, 56, 94, 42] - 550.4235429799993
[45, 56, 36, 42] - 551.49620044
[45, 56, 90, 42] - 549.932823079999
[45, 24, 38, 42] - 541.5769360399997
[45, 24, 97, 42] - 552.8516135300003
[45, 24, 94, 42] - 548.6565662099995
[45, 24, 36, 42] - 548.3005694099994
[45, 24, 90, 42] - 547.7586140999989
[45, 38, 97, 42] - 547.2109771800008
[45, 38, 94, 42] - 541.5089994499995
[45, 36, 38, 42] - 542.6343073200004
[45, 38, 90, 42] - 541.0681358200001
[45, 94, 42, 97] - 552.5279600599998
[45, 36, 42, 97] - 552.9844719099998
[45, 90, 42, 97] - 552.2020764100007
[45, 36, 94, 42] - 547.3987874600009
[45, 90, 94, 42] - 547.4508622899993
[45, 36, 90, 42] - 547.7423701899994
[45, 100, 2, 120] - 538.8657222299988
[56, 45, 100, 2] - 546.1310881299995
[45, 100, 24, 2] - 543.9588438400004
[45, 100, 2, 38] - 536.4050781700006
[45, 100, 2, 97] - 544.7944591099993
[45, 100, 2, 94] - 540.3680282500009
[45, 100, 2, 36] - 541.87838693
[45, 100, 2, 90] - 542.1476874000001
[56, 45, 100, 120] - 541.76902574
[45, 100, 24, 120] - 539.4523496399994
[45, 100, 38, 120] - 532.9786939600003
[45, 100, 97, 120] - 542.3398915199991
[45, 100, 94, 120] - 537.9346908699994
[45, 100, 36, 120] - 537.2267080599999
[45, 100, 90, 120] - 537.1054668799991
[45, 100, 56, 24] - 545.8720649500004
[45, 100, 56, 38] - 539.3383200999999
[45, 100, 56, 97] - 548.949033259999
[45, 100, 56, 94] - 543.6749921800007
[45, 100, 56, 36] - 545.3162333699995
[45, 100, 56, 90] - 544.1467188500005
[45, 100, 24, 38] - 536.1761954100006
[45, 100, 24, 97] - 546.0453264100004
[45, 100, 24, 94] - 542.0537725299987
[45, 100, 24, 36] - 542.0774670699997
[45, 100, 24, 90] - 541.8354504399998
[45, 100, 38, 97] - 539.8072472599993
[45, 100, 38, 94] - 534.4451308299998
[45, 100, 36, 38] - 535.9014796700003
[45, 100, 38, 90] - 534.8363945900005
[45, 100, 94, 97] - 543.64187505
[45, 100, 36, 97] - 545.0363651100006
[45, 100, 90, 97] - 544.45805973
[45, 100, 36, 94] - 539.32191189
[45, 100, 90, 94] - 539.7061159299996
[45, 100, 36, 90] - 540.4067106700007
[56, 45, 2, 120] - 545.1220740399998
[45, 24, 2, 120] - 542.8933353499996
[45, 2, 38, 120] - 536.2043458899991
[45, 2, 97, 120] - 545.3908492499995
[45, 2, 94, 120] - 541.0975633199988
[45, 2, 36, 120] - 541.28168804
[45, 2, 90, 120] - 541.3588432799994
[45, 56, 24, 2] - 550.33848729
[45, 56, 2, 38] - 542.9876528399998
[45, 56, 2, 97] - 552.3408991500006
[45, 56, 2, 94] - 547.3744113599996
[45, 56, 2, 36] - 549.7548324200005
[45, 56, 2, 90] - 548.8675423200001
[45, 2, 24, 38] - 540.1978952599997
[45, 2, 24, 97] - 550.1000522800001
[45, 2, 24, 94] - 546.1608237699987
[45, 2, 24, 36] - 547.1458461899995
[45, 2, 24, 90] - 547.1800132099997
[45, 2, 38, 97] - 543.4971889500005
[45, 2, 38, 94] - 537.7089121799994
[45, 2, 36, 38] - 540.2964249300004
[45, 2, 38, 90] - 539.1482698999998
[45, 2, 94, 97] - 547.20625463
[45, 2, 36, 97] - 549.1983231000008
[45, 2, 90, 97] - 548.8545796499996
[45, 2, 36, 94] - 543.8463114699999
[45, 2, 90, 94] - 544.4927025400006
[45, 2, 36, 90] - 546.0538123499998
[45, 56, 24, 120] - 543.9791110800007
[45, 56, 38, 120] - 538.0663578799994
[45, 56, 97, 120] - 548.2510453799999
[45, 56, 94, 120] - 543.4193603700003
[45, 56, 36, 120] - 543.4535010000003
[45, 56, 90, 120] - 542.1776533200012
[45, 24, 38, 120] - 535.0397778000006
[45, 24, 97, 120] - 545.7905463600002
[45, 24, 94, 120] - 541.7665356700003
[45, 24, 36, 120] - 540.4115973399993
[45, 24, 90, 120] - 540.3179706699995
[45, 38, 97, 120] - 540.1780874899995
[45, 38, 94, 120] - 534.5557870999991
[45, 36, 38, 120] - 535.0867656600002
[45, 38, 90, 120] - 533.7276629200002
[45, 94, 97, 120] - 545.2671923600005
[45, 36, 97, 120] - 544.7993087900002
[45, 90, 97, 120] - 544.3210081700007
[45, 36, 94, 120] - 539.4945127599992
[45, 90, 94, 120] - 539.7921329899991
[45, 36, 90, 120] - 539.0873746899986
[45, 56, 24, 38] - 541.246042429999
[45, 56, 24, 97] - 551.9253165599998
[45, 56, 24, 94] - 547.2293946399993
[45, 56, 24, 36] - 548.2425783899993
[45, 56, 24, 90] - 546.8880410600003
[45, 56, 38, 97] - 546.1652841799997
[45, 56, 38, 94] - 540.0519052
[45, 56, 36, 38] - 542.3711793600003
[45, 56, 38, 90] - 540.0421338300002
[45, 56, 94, 97] - 550.6495749200013
[45, 56, 36, 97] - 552.1348974000009
[45, 56, 90, 97] - 550.5667206899993
[45, 56, 36, 94] - 546.2166185200008
[45, 56, 90, 94] - 545.5638874699997
[45, 56, 36, 90] - 546.9848067199994
[45, 24, 38, 97] - 542.86403897
[45, 24, 38, 94] - 537.8118748300003
[45, 24, 36, 38] - 538.7144888699988
[45, 24, 38, 90] - 537.4030394800009
[45, 24, 94, 97] - 548.8521230000018
[45, 24, 36, 97] - 549.1141284299999
[45, 24, 90, 97] - 548.77329866
[45, 24, 36, 94] - 544.21793865
[45, 24, 90, 94] - 544.6628868100003
[45, 24, 36, 90] - 544.59992448
[45, 38, 94, 97] - 541.70101626
[45, 36, 38, 97] - 544.0263106699997
[45, 38, 90, 97] - 542.06117852
[45, 36, 38, 94] - 537.0657595400003
[45, 38, 90, 94] - 536.5220926900005
[45, 36, 38, 90] - 537.8390829200007
[45, 36, 94, 97] - 547.1319368300002
[45, 90, 94, 97] - 547.3658424599992
[45, 36, 90, 97] - 548.1643967199994
[45, 36, 90, 94] - 542.63151855
[77, 128] - 564.7589999999993
[11, 77] - 526.9313000000004
[77, 57] - 561.3831000000002
[77, 24, 2] - 547.6955560000005
[77, 2, 38] - 541.9678319999992
[77, 2, 97] - 550.4555859999997
[77, 2, 94] - 550.7187299999998
[77, 2, 36] - 543.2697759999995
[77, 2, 90] - 550.6912339999994
[77, 38, 120] - 566.8321090000009
[77, 97, 120] - 577.3274960000005
[77, 94, 120] - 577.9830800000009
[77, 36, 120] - 571.988549
