Total itemsets found: 2086
Elapsed time: 3009ms
[21] - 784.9200000000006
[22] - 805.0400000000008
[44] - 834.740000000001
[125] - 857.2100000000006
[94, 53] - 689.4254999999996
[36, 53] - 693.7727999999994
[90, 53] - 697.5183999999995
[110, 102] - 725.5379999999996
[102, 29] - 726.8570000000004
[102, 70] - 729.3798999999996
[66, 102] - 731.9170000000004
[55, 102] - 725.2176999999995
[57, 102] - 728.9662
[2, 102] - 731.7608999999985
[24, 102] - 725.3585999999991
[102, 41] - 723.2547999999995
[102, 38] - 728.6277000000002
[102, 97] - 725.7515999999995
[102, 94] - 732.2725000000002
[36, 102] - 726.0604000000001
[102, 90] - 725.0941999999992
[88, 60] - 772.7486
[79, 60] - 770.3571000000004
[60, 97] - 768.8288000000006
[60, 94] - 766.8702999999998
[36, 60] - 768.1294999999997
[90, 60] - 763.7903999999997
[88, 119] - 770.7029000000014
[79, 119] - 775.2610999999998
[119, 97] - 686.1768999999998
[119, 94] - 772.7680999999999
[36, 119] - 775.5482000000003
[90, 119] - 775.397
[56, 20] - 804.742999999999
[38, 20] - 826.8418
[97, 20] - 808.1379999999996
[94, 20] - 838.898699999999
[36, 20] - 839.8923999999994
[90, 20] - 850.2203000000007
[50, 41] - 771.4913999999992
[50, 97] - 823.6581999999994
[94, 50] - 875.5846999999984
[36, 50] - 882.6211999999994
[90, 50] - 880.1351999999995
[122, 39] - 733.2677000000016
[39, 31] - 794.932299999998
[1, 39] - 836.0715999999987
[88, 39] - 854.6797999999983
[79, 39] - 892.5987000000008
[24, 39] - 847.0005000000007
[39, 41] - 734.1479
[39, 97] - 735.3602999999997
[39, 94] - 891.2456999999991
[36, 39] - 890.2046999999995
[39, 90] - 892.7048000000003
[110, 29] - 887.977899999999
[110, 70] - 726.4951999999995
[66, 110] - 728.8280999999989
[55, 110] - 753.0132999999987
[110, 57] - 885.422999999999
[110, 2] - 893.1761999999995
[110, 24] - 750.1888999999999
[110, 41] - 879.6183
[56, 108] - 802.5129999999981
[67, 108, 71] - 689.9938109999993
[108, 71, 97] - 743.5790140000023
[108, 71, 94] - 722.5010510000005
[36, 108, 71] - 725.5708430000013
[90, 108, 71] - 740.1792650000007
[67, 108, 97] - 781.4080870000014
[67, 108, 94] - 759.7101439999992
[67, 36, 108] - 762.3736350000007
[67, 90, 108] - 780.2413529999997
[108, 41, 97] - 748.4957199999993
[108, 94, 41] - 728.364387
[36, 108, 41] - 726.0088570000006
[90, 108, 41] - 744.1413259999988
[38, 108] - 837.2554999999977
[108, 94, 97] - 869.6409159999994
[36, 108, 97] - 869.4208259999984
[90, 108, 97] - 887.6784719999994
[36, 108, 94] - 868.4102340000007
[90, 108, 94] - 868.2811779999988
[36, 90, 108] - 868.6169169999991
[29, 70] - 892.4576999999985
[66, 29] - 893.4657999999991
[55, 29] - 725.1498999999995
[57, 29] - 890.3175999999994
[24, 2, 29] - 788.1144300000012
[2, 38, 29, 97] - 681.4652561399995
[2, 38, 29, 94] - 686.1397345199998
[2, 36, 38, 29] - 680.7985839899999
[2, 38, 90, 29] - 683.62967217
[2, 29, 94, 97] - 685.7183872100001
[2, 36, 29, 97] - 680.6064670599993
[2, 90, 29, 97] - 684.5288263000007
[2, 36, 29, 94] - 683.4250105999994
[2, 90, 29, 94] - 687.704834659999
[2, 36, 90, 29] - 683.3031497000021
[29, 120] - 764.6928999999997
[24, 38, 29] - 782.4169029999988
[24, 29, 97] - 787.1121740000002
[24, 29, 94] - 787.3933599999991
[24, 36, 29] - 782.9838890000024
[24, 90, 29] - 786.3840799999999
[29, 41] - 883.1559999999986
[38, 29, 94, 97] - 681.4471937400008
[36, 38, 29, 97] - 676.3306501299995
[38, 90, 29, 97] - 678.6020283599985
[36, 38, 29, 94] - 679.5759747500002
[38, 90, 29, 94] - 682.5120976800005
[36, 38, 90, 29] - 678.1316686999993
[36, 29, 94, 97] - 680.8471690899999
[90, 29, 94, 97] - 684.3845169000001
[36, 90, 29, 97] - 680.3274368700002
[36, 90, 29, 94] - 682.5452607999997
[100, 13] - 686.9238999999994
[13, 120] - 779.186299999998
[1, 13] - 717.1384999999984
[79, 13] - 688.5953999999992
[56, 13, 97] - 707.2512700000004
[56, 13, 94] - 709.2131989999992
[56, 13, 36] - 711.7518299999998
[56, 13, 90] - 703.8396469999998
[24, 13] - 811.5186000000012
[13, 71] - 882.6129999999985
[67, 13, 97] - 681.4919159999993
[67, 13, 90] - 701.3752100000016
[13, 41] - 678.2309999999997
[13, 38, 97] - 800.020713999998
[13, 38, 94] - 760.6021890000017
[13, 36, 38] - 759.720641000001
[13, 38, 90] - 835.0547609999992
[13, 94, 97] - 846.0786129999989
[13, 36, 97] - 846.9059470000009
[13, 90, 97] - 917.3820049999999
[13, 36, 94] - 886.3968339999997
[13, 90, 94] - 882.1976930000013
[13, 36, 90] - 878.5067820000012
[66, 2, 70] - 734.1345990000004
[66, 24, 70] - 766.8643610000001
[66, 38, 70] - 733.1682609999989
[66, 70, 97] - 733.0275639999996
[66, 70, 94] - 764.0896290000009
[66, 36, 70] - 763.430261
[66, 90, 70] - 762.7668549999992
[55, 70] - 810.149599999999
[57, 70] - 729.6518000000008
[2, 24, 38, 70] - 684.8408074000002
[2, 24, 70, 97] - 687.9317425399992
[2, 24, 70, 94] - 688.7106306599997
[2, 24, 36, 70] - 687.5579279100006
[2, 24, 90, 70] - 684.1487747699995
[2, 38, 70, 97] - 682.1246332800002
[2, 38, 70, 94] - 683.9665224600004
[2, 36, 38, 70] - 682.99555617
[2, 38, 90, 70] - 678.0448902500012
[2, 70, 94, 97] - 686.4413990699999
[2, 36, 70, 97] - 684.9274672600005
[2, 90, 70, 97] - 681.9140776500004
[2, 36, 70, 94] - 686.1751000999985
[2, 90, 70, 94] - 683.1557880000008
[2, 36, 90, 70] - 681.9168707099992
[70, 120] - 840.2810999999983
[24, 38, 70, 97] - 681.2505859299994
[24, 38, 70, 94] - 683.0039443100005
[24, 36, 38, 70] - 680.9032063999997
[24, 38, 90, 70] - 676.5627457399999
[24, 70, 94, 97] - 686.7559489599996
[24, 36, 70, 97] - 684.1545869800002
[24, 90, 70, 97] - 681.6289662599997
[24, 36, 70, 94] - 731.4333566399997
[24, 90, 70, 94] - 729.9665346799997
[24, 36, 90, 70] - 728.92539751
[70, 41] - 806.7655999999996
[38, 70, 94, 97] - 681.6661548699992
[36, 38, 70, 97] - 679.57887014
[38, 90, 70, 97] - 674.9345256899993
[36, 38, 70, 94] - 681.2326502099996
[38, 90, 70, 94] - 677.200992639998
[36, 38, 90, 70] - 675.2570341700006
[36, 70, 94, 97] - 684.0255432200025
[90, 70, 94, 97] - 681.6593685800009
[36, 90, 70, 97] - 679.0893612800007
[36, 90, 70, 94] - 727.6732110899998
[55, 122] - 697.1664999999989
[122, 31] - 756.9956000000002
[88, 122, 1] - 701.6267670000008
[122, 1, 79] - 698.323174999999
[122, 1, 41] - 691.7117569999998
[122, 1, 94] - 697.5736179999997
[122, 1, 36] - 696.2057329999998
[122, 1, 90] - 694.8894700000001
[88, 122, 79] - 831.7043959999999
[88, 122, 41] - 768.8437589999995
[88, 122, 97] - 690.0458270000013
[88, 122, 94] - 826.7285239999994
[88, 122, 36] - 828.8163300000004
[88, 122, 90] - 826.4301490000007
[122, 79, 41] - 765.7963240000008
[122, 79, 97] - 687.0279219999993
[122, 79, 94] - 828.9916910000006
[122, 79, 36] - 827.3498699999998
[122, 79, 90] - 825.5017239999993
[122, 24, 41] - 729.9539220000007
[122, 24, 94] - 738.9448090000011
[122, 24, 36] - 730.8395670000001
[122, 24, 90] - 733.3801080000009
[67, 122] - 699.1302000000007
[122, 41, 97] - 806.1316810000001
[122, 36, 94, 41] - 706.4339724599998
[122, 90, 94, 41] - 707.3016396500016
[122, 36, 90, 41] - 703.0398872400003
[122, 94, 97] - 875.0971900000005
[122, 36, 97] - 868.2452100000037
[122, 90, 97] - 864.5050350000005
[122, 36, 90, 94] - 751.6010971400013
[55, 66] - 854.8358999999986
[66, 57] - 733.2725999999994
[66, 2, 24, 38] - 717.5124792599997
[66, 2, 24, 97] - 701.4610679999993
[66, 2, 24, 94] - 718.2116972399978
[66, 2, 24, 36] - 708.7579380400011
[66, 2, 24, 90] - 716.2412888800009
[66, 2, 38, 97] - 700.3443974599986
[66, 2, 38, 94] - 717.616253770001
[66, 2, 36, 38] - 708.0272684099996
[66, 2, 38, 90] - 714.4219692300006
[66, 2, 94, 97] - 701.1957386300008
[66, 2, 36, 97] - 699.4366526800002
[66, 2, 90, 97] - 698.2747460699984
[66, 2, 36, 94] - 708.3122276199987
[66, 2, 90, 94] - 715.3571859500003
[66, 2, 36, 90] - 706.19356523
[66, 120] - 872.8116999999976
[66, 24, 38, 97] - 699.9195764499987
[66, 24, 38, 94] - 716.5825636500008
[66, 24, 36, 38] - 706.464728170001
[66, 24, 38, 90] - 714.1813518099998
[66, 24, 94, 97] - 701.6967264000018
[66, 24, 36, 97] - 699.8262110999998
[66, 24, 90, 97] - 699.2679565399999
[66, 24, 36, 94] - 754.5389047699987
[66, 24, 90, 94] - 763.7457978299996
[66, 24, 36, 90] - 754.4291838600004
[66, 41] - 830.9126999999988
[66, 38, 94, 97] - 700.8698440100002
[66, 36, 38, 97] - 698.8082479699999
[66, 38, 90, 97] - 697.6445005800006
[66, 36, 38, 94] - 707.3813092900008
[66, 38, 90, 94] - 714.7137889700012
[66, 36, 38, 90] - 704.9912048499998
[66, 36, 94, 97] - 700.1589472300013
[66, 90, 94, 97] - 699.4332438900007
[66, 36, 90, 97] - 697.4015411100016
[66, 36, 90, 94] - 753.2490158000004
[114, 63, 42] - 746.5715590000002
[100, 114, 63] - 822.6983870000004
[2, 114, 63] - 742.9160970000011
[114, 63, 120] - 737.1397540000004
[56, 114, 63] - 734.2487590000011
[24, 114, 63] - 866.9414470000014
[114, 38, 63] - 818.6809279999995
[114, 63, 97] - 746.5525480000006
[36, 114, 94, 63] - 707.1002043099985
[114, 90, 94, 63] - 708.4500098199992
[36, 114, 90, 63] - 713.3523740399995
[100, 114, 42] - 772.3963440000009
[2, 114, 42] - 752.6444159999984
[114, 42, 120] - 770.712373
[56, 114, 42] - 736.3536149999986
[24, 114, 42] - 779.4001540000012
[114, 38, 42] - 737.1582849999996
[114, 97, 42] - 786.3706679999995
[114, 94, 42] - 777.4126840000005
[36, 114, 42] - 781.6756179999996
[114, 90, 42] - 779.5519669999989
[100, 2, 114] - 739.7398490000004
[100, 114, 120] - 760.7997429999991
[56, 100, 114] - 728.364939000001
[100, 24, 114] - 771.0499560000005
[100, 114, 38] - 808.0098800000021
[100, 114, 97] - 771.8599239999999
[100, 114, 94] - 840.3430419999992
[100, 36, 114] - 849.7031420000008
[100, 114, 90] - 846.1774729999994
[2, 114, 120] - 736.2871939999995
[56, 2, 114] - 733.8528610000003
[24, 2, 114] - 770.407702000001
[2, 114, 38] - 755.7852419999998
[2, 114, 97] - 751.879863999999
[2, 114, 94] - 765.0912489999997
[2, 36, 114] - 760.3275709999991
[2, 114, 90] - 771.5594910000013
[56, 114, 120] - 727.7786989999984
[24, 114, 120] - 768.754162999999
[114, 38, 120] - 735.0577110000004
[114, 97, 120] - 770.8258789999995
[114, 94, 120] - 772.1966599999986
[36, 114, 120] - 771.6094220000002
[114, 90, 120] - 771.1242970000004
[88, 114] - 723.530699999999
[79, 114] - 779.6868000000005
[56, 24, 114] - 733.7113390000025
[56, 114, 38] - 724.2946930000013
[56, 114, 97] - 736.7318569999995
[56, 114, 94] - 729.9389920000006
[56, 36, 114] - 733.2784569999998
[56, 114, 90] - 731.3068549999999
[24, 114, 38] - 762.7915079999995
[24, 114, 97] - 780.4050760000015
[24, 36, 114, 94] - 683.5274973699992
[24, 114, 90, 94] - 694.3088521599993
[24, 36, 114, 90] - 689.7824106199994
[114, 71] - 710.7050999999998
[67, 114] - 716.6045999999998
[114, 38, 97] - 737.7422139999995
[114, 38, 94] - 850.5290319999989
[36, 114, 38] - 845.7420150000013
[114, 38, 90] - 854.9475960000002
[114, 94, 97] - 777.1798239999999
[36, 114, 97] - 781.7515329999985
[114, 90, 97] - 780.0514880000005
[36, 114, 90, 94] - 753.4114801200018
[128, 9] - 698.8731000000002
[57, 9, 97] - 717.2600019999984
[57, 9, 94] - 709.0956220000002
[57, 36, 9] - 710.1899759999992
[57, 90, 9] - 713.2540940000013
[1, 9, 31] - 703.8952439999998
[9, 94, 31] - 714.1515750000003
[36, 9, 31] - 711.8615059999996
[90, 9, 31] - 716.0545899999997
[5, 9] - 692.6438
[104, 9] - 700.5398999999982
[1, 9, 94] - 716.0518380000004
[1, 36, 9] - 717.3302790000006
[1, 90, 9] - 719.7770360000005
[79, 9] - 697.6597999999998
[56, 9] - 799.6114999999993
[24, 9] - 873.3949999999988
[9, 71] - 816.9161000000003
[67, 9] - 821.1852999999995
[9, 41, 97] - 854.8451340000009
[36, 9, 94, 41] - 681.3313205500007
[90, 9, 94, 41] - 683.4611381100002
[36, 90, 9, 41] - 681.6104559600006
[38, 9, 97] - 701.7518689999996
[38, 9, 94] - 697.1957259999998
[36, 38, 9] - 698.6520779999997
[38, 90, 9] - 700.2987439999998
[36, 9, 94, 97] - 732.96120447
[90, 9, 94, 97] - 734.7180434099996
[36, 90, 9, 97] - 734.5009190900001
[36, 90, 9, 94] - 776.1389314199968
[100, 63, 42] - 743.3409280000001
[2, 63, 42] - 746.3232380000017
[63, 42, 120] - 751.4604970000007
[56, 63, 42] - 736.7119630000001
[24, 63, 42] - 768.0224500000004
[38, 63, 42] - 759.5695219999998
[63, 97, 42] - 771.1745360000014
[94, 63, 42] - 765.9609460000015
[36, 63, 42] - 767.3107900000009
[90, 63, 42] - 766.7063960000012
[12, 63] - 734.0302999999992
[100, 2, 63] - 739.8402200000008
[100, 63, 120] - 735.2507410000002
[56, 100, 63] - 731.9265429999999
[100, 24, 63] - 742.7927449999992
[100, 38, 63] - 817.365146999999
[100, 63, 97] - 743.9122529999988
[100, 94, 63] - 820.7735120000006
[100, 36, 63] - 825.475193999998
[100, 90, 63] - 823.7312289999999
[2, 63, 120] - 737.6283780000003
[56, 2, 63] - 734.7971649999995
[24, 2, 63] - 746.0401890000002
[2, 38, 63] - 736.2066719999991
[2, 63, 97] - 745.9851080000009
[2, 94, 63] - 741.8035719999995
[2, 36, 63] - 743.0643049999984
[2, 90, 63] - 743.9700590000007
[56, 63, 120] - 728.7381370000006
[24, 63, 120] - 790.6930650000003
[38, 63, 120] - 780.9845
[63, 97, 120] - 793.0449440000012
[94, 63, 120] - 747.8583859999997
[36, 63, 120] - 746.6597770000004
[90, 63, 120] - 786.0593450000026
[88, 63] - 731.3336999999988
[79, 63] - 749.2344999999998
[56, 24, 63] - 734.5587900000005
[56, 38, 63] - 726.2717699999997
[56, 63, 97] - 738.0922490000005
[56, 94, 63] - 731.8209060000006
[56, 36, 63] - 734.699241
[56, 90, 63] - 733.0780740000008
[24, 38, 63] - 836.1925780000017
[24, 63, 97] - 850.0899950000007
[24, 94, 63] - 886.7193179999983
[24, 36, 63] - 888.9175980000007
[24, 90, 63] - 968.1368590000016
[71, 63] - 781.3326000000011
[67, 63] - 806.4750999999983
[38, 63, 97] - 840.9558619999989
[38, 94, 63] - 836.1612559999998
[36, 38, 63] - 841.5440169999997
[38, 90, 63] - 916.6400689999997
[94, 63, 97] - 766.3664030000009
[36, 63, 97] - 767.9208490000003
[90, 63, 97] - 846.1072730000001
[36, 90, 94, 63] - 725.6748438099996
[100, 2, 42] - 744.6095130000004
[100, 42, 120] - 767.7117520000013
[56, 100, 42] - 732.6573069999989
[100, 24, 42] - 776.0305430000009
[100, 38, 42] - 734.2978670000005
[100, 97, 42] - 778.6329719999981
[100, 94, 42] - 771.0124860000004
[100, 36, 42] - 774.5737089999994
[100, 90, 42] - 773.3046519999996
[2, 42, 120] - 832.502637
[56, 2, 42] - 736.0972880000012
[24, 2, 42] - 833.8507299999993
[2, 38, 42] - 883.6583829999994
[2, 94, 42, 97] - 701.0293787900013
[2, 36, 42, 97] - 709.3524531600012
[2, 90, 42, 97] - 709.012925280001
[2, 36, 94, 42] - 698.0907718099999
[2, 90, 94, 42] - 698.2048317399998
[2, 36, 90, 42] - 706.8001153700003
[56, 42, 120] - 771.879592
[24, 42, 120] - 843.6411359999989
[38, 42, 120] - 835.9235410000013
[94, 42, 97, 120] - 703.3723052400013
[36, 42, 97, 120] - 704.9832170000013
[90, 42, 97, 120] - 703.9192845899998
[36, 94, 42, 120] - 699.5549237899997
[90, 94, 42, 120] - 698.8217633600015
[36, 90, 42, 120] - 701.0827917700003
[88, 42] - 876.0850000000003
[79, 97, 42] - 702.0588939999997
[79, 94, 42] - 692.1741000000006
[79, 36, 42] - 702.5711240000011
[79, 90, 42] - 696.3087689999993
[56, 24, 42] - 735.3132560000009
[56, 38, 42] - 727.1222220000008
[56, 97, 42] - 782.8291229999987
[56, 94, 42] - 775.8899940000001
[56, 36, 42] - 778.5162959999991
[56, 90, 42] - 776.6303490000009
[24, 38, 42] - 839.5728880000017
[24, 94, 42, 97] - 692.8693766499979
[24, 36, 42, 97] - 697.8025313000015
[24, 90, 42, 97] - 698.7105971100011
[24, 36, 94, 42] - 687.6941625499991
[24, 90, 94, 42] - 689.5512399699999
[24, 36, 90, 42] - 694.5216136100003
[71, 42] - 860.9841999999982
[67, 97, 42] - 680.2430439999989
[67, 36, 42] - 676.8700060000006
[67, 90, 42] - 679.8093570000001
[38, 94, 42, 97] - 708.4421929700005
[36, 38, 42, 97] - 715.7509890000002
[38, 90, 42, 97] - 713.3245273800004
[36, 38, 94, 42] - 706.2199407
[38, 90, 94, 42] - 704.3249987
[36, 38, 90, 42] - 711.3990789199985
[36, 94, 42, 97] - 802.29617831
[90, 94, 42, 97] - 802.0171099900016
[36, 90, 42, 97] - 811.2865536799994
[36, 90, 94, 42] - 799.0101510300009
[100, 12] - 826.5073999999996
[12, 2] - 795.1362999999997
[12, 104] - 682.9665999999985
[12, 120] - 730.7948999999978
[1, 12] - 716.2375000000004
[88, 12, 79] - 743.254546
[88, 12, 97] - 735.1152359999992
[88, 12, 94] - 840.8430250000013
[88, 12, 36] - 843.2137030000009
[88, 12, 90] - 845.1657299999986
[12, 79, 97] - 731.2642840000009
[12, 79, 94] - 842.8905749999988
[12, 79, 36] - 843.7730040000007
[12, 79, 90] - 841.2440090000007
[12, 56, 97] - 720.5482160000015
[12, 56, 94] - 723.351433000001
[12, 56, 36] - 721.2036779999995
[12, 56, 90] - 723.6215450000002
[12, 24, 97] - 709.051511
[12, 24, 94] - 688.8322380000005
[12, 24, 36] - 688.0533069999999
[12, 24, 90] - 772.1852089999998
[12, 90, 71] - 753.1623079999999
[12, 67, 90] - 749.2672719999999
[12, 41] - 869.2763999999984
[12, 38, 97] - 746.2344170000013
[12, 38, 94] - 730.0326200000002
[12, 36, 38] - 736.3473220000004
[12, 38, 90] - 818.2421209999994
[12, 36, 94, 97] - 691.1019867699989
[12, 90, 94, 97] - 691.872840470001
